summary,Category
kompascom  kehadiran lionel messi memberikan dampak besar bagi sepak bola amerika serikat messi membuat mls menjadi pusat perhatian layaknya super bowl lionel messi memilih melanjutkan karier di amerika serikat setelah habis kontrak di paris saintgermain pada juli lalu pilihan messi jatuh kepada klub anggota major league soccer mls inter miami baca juga kehadiran lionel messi bikin mata dunia tertuju ke mls  komisioner mls don garber menyebut kehadiran messi memberikan dampak sangat besar kepada kompetisi sepak bola tertinggi negeri paman sam tersebut garber menyebut kedatangan messi membuat mls kini menjadi pusat perhatian layaknya partai puncak national football league nfl super bowl dengan messi setiap pertandingan hampir seperti super bowl dengan kehadiran para selebriti dan media global kata garber sebelum laga final mls cup  antara columbus crew dan los angeles fc sabtu   garber mengakui bergabungnya lionel messi makin mengangkat pamor mls di mata global sebelum messi datang pada pertengahan kompetisi mls sedang melakoni periode terbaik dengan berbagai ekspansi yang mereka lakukan klub pendatang baru st louis city fc menjual ludes tiket pertandingan kandang mereka selain itu musim ini juga menandai debut kerja sama antara mls dan platform streaming apple tv nilai kerja sama mls dengan apple tv diyakini bertambah besar usai kedatangan messi baca juga scaloni pikirkan tinggalkan argentina isu konflik dengan messi bergabungnya messi ke mls menjadi sebuah kisah global yang mengangkat profil liga kami pemain terhebat sepanjang sejarah menjadikan mls sebagai liga pilihannya dia messi memperluas dan mengembangkan kehadiran kami secara global kami baru saja memahami apa artinya hal tersebut ucap don garber adapun messi langsung menunjukkan performa apik pada musim debutnya di mls meski gagal membawa inter miami lolos playoff megabintang asal argentina itu sukses mencetak  gol dari  laga dan membantu klub memenangi gelar leagues cup,Sports
kompascom  kedatangan ze valente dan irfan bachdim menambah kekuatan persik kediri terkini macan putih tampil ciamik saat membungkam persib bandung persik kediri sukses mengalahkan tuan rumah persib bandung pada laga pekan ke liga  minggu  malam wib bertanding di stadion gelora bandung lautan api persik besutan marcelo rospide berhasil menaklukkan persib dengan skor  dua gol kemenangan macan putih atas maung bandung tercipta melalui sepakan penalti renan silva pada menit ke dan tendangan bebas anderson do nascimento menit ke baca juga hasil persib vs persik malam yang tak akan dilupakan macan putih dalam laga melawan persib marcelo rospide menurunkan dua rekrutan tengah musim yaitu ze valente dan irfan bachdim ze valente yang dipinjam dari persebaya surabaya bermain sebagai starter gelandang serang asal portugal itu mampu berkolaborasi dengan renan silva untuk mendukung penyerang flavio silva berdasarkan data lapangbolacom ze valente menjadi pemain persik dengan jumlah umpan sukses terbanyak yaitu  sementara itu irfan bachdim masuk pada babak kedua menggantikan mochammad supriadi dengan pengalaman dan jam terbangnya irfan tampak bisa menjadi sosok penenang saat persik mulai digempur persib  sebelum partai tandang kontra persib marcelo rospide mengatakan bahwa kedatangan ze valente dan irfan bachdim adalah hal bagus bagi timnya sangat sangat bagus situasinya karena di bursa transfer ini kami bisa meningkatkan kualitas tim klub mendukung kami untuk memajukan tim dan kami berhasil membawa pemain di bursa transfer dan kami beruntung bisa membawa irfan bachdim dan ze valente kata rospide di lain sisi bojan hodak selaku pelatih persib bandung juga sempat menyoroti kehadiran irfan bachdim dan ze valente di skuad persik kediri ya saya lihat di laga terakhirnya ze valente bermain bagus lalu ada renan silva dan flavio silva ucap bojan hodak sebelum pertandingan baca juga dampak irfan bachdim dan ze valente di skuad persik kediri,Sports
kompascom  gary neville menilai memecat erik ten hag bukan solusi yang dibutuhkan manchester united menurut neville akar masalah klub adalah perekrutan pemain yang tidak tepat menjelang pergantian tahun manchester united besutan erik ten hag tak kunjung menemukan konsistensi permainan teraktual armada ten hag kalah telak  di kandang sendiri dari bournemouth pada laga pekan ke premier league sabtu  padahal pada laga sebelumnya mereka mampu meraih kemenangan  saat menjamu chelsea baca juga hasil man united vs bournemouth setan merah tertidur  menit jebol kalah  kemenangan atas chelsea tersebut sempat memberi angin segar kepada man united akan tetapi saat melawan bournemouth mereka justru kembali terkapar usai dihajar oleh golgol dominic solanke philip billing dan marcos senesi bagi man united itu adalah kekalahan ketujuh mereka di kompetisi teratas liga inggris musim ini inkonsistensi yang dialami manchester united membuat sang manajer erik ten hag kembali jadi sasaran kritik namun gary neville mengatakan bahwa memecat ten hag bukanlah solusi yang dibutuhkan man united saat ini tidak mungkin mereka akan mengganti dia ten hag musim ini kata neville usai man united kalah dari bournemouth seperti dikutip manchester evening news ide untuk memecatnya adalah omong kosong dan saya tidak akan mendukungnya imbuh mantan bek kanan man united tersebut baca juga man united tumbang erik ten hag kesal dan kecewa neville yang  tahun mengabdi di old trafford menambahkan akar masalah manchester united adalah perekrutan pemain yang tidak tepat saya tahu orangorang tidak bisa menyalahkan keluarga glazers pemilik klub atas apa yang terjadi di lapangan tetapi mungkin juga bisa iya namun anda bisa melakukan itu karena  tahun kegagalan dan perekrutan yang menyedihkan bermuara pada fakta bahwa mereka tidak memiliki direktur olahraga atau kepala perekrutan yang tepat ucap neville usai kalah dari bournemouth man united masih terpaku di peringkat keenam klasemen liga inggris  dengan nilai  mereka berjarak enam poin dari tim peringkat empat manchester city dan  poin dari sang pemuncak klasemen liverpool sementara itu di liga champions man united yang menempati peringkat terbawah grup a terancam gagal lolos ke fase gugur,Sports
kompascom  kompetisi atletik pelajar terbesar tanah air energen champion student athletics championships sac indonesia  telah menuntaskan rangkaian kualifikasi regional kualifikasi regional jawa timur di lapangan atletik thor surabaya pada  desember  jadi penutup kualifikasi sac indonesia  yang total digelar di enam wilayah  kompetisi berlangsung sangat kompetitif hingga memecahkan tiga rekor nasional sac indonesia masingmasing dari nomor lompat jauh putri atas nama aufar fadilah dwi caksono sman  madiun dengan lompatan  meter baca juga tingginya animo peserta di sac indonesia east java qualifiers  selanjutnya rekor lari jarak menengah  meter putri yang dipecahkan oleh inna nurul marifatin man  bojonegoro dengan catatan  menit  detik  terakhir adalah arfiansyah adi yuliarta yang memecahkan rekor di nomor sprint atau lari  meter putra dengan catatan waktu  detik pada babak penyisihan sabtu   rekor nasional sac indonesia di nomor  meter putra sebelumnya dipegang yogi saputra sman  surade dengan catatan waktu  detik yogi merupakan juara national championship  dan salah satu peserta sac ke australia  saat tampil pada final east java qualifiers hari minggu  arfiansyah berhasil mempertajam catatan waktunya menjadi  detik baca juga hasil kualifikasi sac indonesia  di jawa tengah catatan itu lebih bagus  detik dari rekor atas namanya sendiri sekaligus memastikan dirinya merebut podium juara dan lolos ke national championship yang akan digelar di solo pada januari   waktu  detik yang ditorehkan arfiansyah bisa dibilang luar biasa sebab rekor indonesai di nomor  meter putra saat ini dipegang suryo agung wibowo pada sea games  dengan catatan  detik  arfiansyah mengatakan dirinya telah mempersiapkan diri selama satu tahun penuh untuk sac indonesia   “memang menunggu sac dari pulang di national championship awal tahun ini langsung latihan karena di sac perdana itu saya juga masih awalawal latihan sebelumnya juga mendalami olahraga futsal” tutur arfiansyah yang kini duduk di kelas  dalam keterangan yang diterima kompascom  baca juga sac indonesia  dki jakarta  banten qualifiers pecahkan rekor di  meter putri prestasi arfiansyah ini menarik perhatian serafi unani peraih medali emas di nomor  meter putri di sea games  itu hadir menonton langsung arfiansyah pada partai final  kalau melihat prestasinya bagus banget ya apalagi dia masih kelas  jadi dia sudah cukup bagus pada usia ini bisa lari dan mencatatkan waktu  detik katanya  sisa bagaimana ke depannya kami maintanance karena dia bibit apalagi dia leadingnya jauh ungkap serafi,Sports
kompascom  bin pasundan berhasil keluar sebagai juara livoli divisi utama  usai mengalahkan lavani bogor dengan skor       pada laga grand final di gor joyoboyo kediri minggu  malam  laga berjalan dengan sangat dramatis karena lavani memberikan perlawanan yang sangat sengit mereka memaksa laga berjalan selama lima set yang penuh ketegangan sekitar  penonton yang hadir pun larut dalam tempo permainan yang intens mereka tidak beranjak dari tempat duduk sampai akhir laga termasuk presiden ri ke dan sekaligus pemilik klub lavani susilo bambang yudhoyono sby  set pertama dimenangi oleh bin pasundan dengan skor  namun lavani berhasil mengamankan set kedua dan ketiga dengan skor  dan   tertinggal  bin pasundan yang dimotori farhan halim menolak menyerah di set keempat matimatian mereka meladeni permainan agresif lavani yang berada diatas angin baca juga daftar penghargaan pemain masa depan livoli divisi utama    bin pasundan akhirnya berhasil memenangi set keempat dengan skor  memaksa laga ditentukan lewat set kelimat  set kelima tidak kalah menegangkan dengan sisasisa tenaga mereka tetap menunjukan power dan konsentrasi tinggi namun bin pasundan menemukan momentum lebih dulu dan mengakhiri perlawanan lavani dengan skor   pelatih bin pasundan ryan masajedi mengaku sangat senang dan bangga dengan penampilan pemainnya  “tim kami memiliki banyak pemain bagus dan bertalenta sehingga rotasi juga lebih mudah mereka semua bekerja keras dan bermain seperti keluarga ditambah manajemen bin mendukung penuh saya melakukan pekerjaan ini” tuturnya  sebagai juara bin pasundan menerima piala juga menerima uang pembinaan sebesar rp  juta   kemenangan semakin manis karena spiker bin pasundan fikri mustofa kamal dinobatkan sebagai pemain masa depan pada ajang livoli divisi utama  ia mendapat piala pengharagaan dan hadiah uang pembinaan rp  juta   sementara bagi lavani kekalahan ini begtu mengecewakan asisten pelatih lavani erwin rusni mengatakan kalahan ini disebabkan karena kesalahan tiimnya sendiri  “permainan anakanak pada set keempat dan kelima sedikit menurun receive hampir tidak jalan sehingga serangan mudah dibaca lawan” ujarnya   pun demikian sepak terjang lavani layak mendapatkan acungan jempol tim milik presiden ri ke susilo bambang yudhoyono sby tersebut menjadi debutan di divisi utama  setelah sebelumnya mendapatkan promosi sebagai runner up divisi i   lavani sebagai runnerup mendapatkan uang pembinaan rp  juta  sementara peringkat ketiga kompetisi nasional bola voli amatir ini ditempati pdam tirta baghasasi bekasi yang mengalahkan juara bertahan indomaret sidoarjo        atas raihan peringkat ketiga itu pdam mendapatkan piala dan hadiah uang pembinaan rp  juta sedangkan indomaret rp  juta,Sports
kompascom  livoli divisi utama  rampung digelar di gor joyoboyo kediri jawa timur pada minggu   petrokimia gresik pupuk indonesia dan bin pasundan menjadi juara livoli divisi utama  setelah mengalahkan lawan masingmasing  tim putri petrokimia menjadi juara livoli divisi utama  seusai menang  atas tni pada sabtu  sehari setelahnya tim putra bin pasundan memenangi pertandingan ketat melawan lavani dengan skor   baca juga hasil final livoli  bin pasundan juara sejarah tercipta livoli divisi utama  juga memberikan penghargaan pemain masa depan kepada putri nur hidayati agustin petrokimia dan fikri mustofa kamal bin pasundan  keduanya berhak mendapatkan trofi penghargaan dan menerima uang pembinaan sebesar rp   sementara itu petrokimia dan bin pasundan sebagai juara masingmasing mendapatkan uang pembinaan rp  juta  baca juga runnerup livoli divisi utama  lavani ungkap faktor kekalahan dari bin untuk runnerup yang diraih tni au putri dan lavani putra mendapatkan rp  juta adapun peringkat ketiga yaitu tni al putri danpdam tirta baghasasi bekasi putra menerima rp  juta  putri putra pemain masa depan,Sports
kompascom  asisten pelatih lavani erwin rusni mengungkapkan faktor kekalahan timnya dari bin pasundan pada grand final livoli divisi utama   lavani menjadi runnerup livoli divisi utama  setelah kalah  dalam pertandingan di gor joyoboyo kediri jawa timur minggu  malam wib  erwin menegaskan bahwa para pemainnya mengalami penurunan performa pada set empat dan lima sehingga pola permainan mudah dibaca lawan “permainan anakanak pada set keempat dan kelima sedikit menurun receive hampir tidak jalan sehingga serangan mudah dibaca lawan” kata erwin rusni  baca juga hasil final livoli  bin pasundan juara sejarah tercipta sementara itu pelatih bin pasundan ryan masajedi mengaku senang dan bangga dengan penampilan timnya yang bermain maksimal melawan lavani  “tim kami memiliki banyak pemain bagus dan bertalenta sehingga rotasi juga lebih mudah kata ryan dalam keterangan pbvsi yang diterima kompascom  mereka semua bekerja keras dan bermain seperti keluarga ditambah manajemen bin mendukung penuh saya melakukan pekerjaan ini” kata ryan melanjutkan  sementara itu asisten pelatih lavani erwin rusni mengungkapkan faktor kekalahan timnya dari bin pasundan  baca juga tim putri petrokimia juara livoli divisi utama   selain menerima trofi juara bin akan mendapatkan uang pembinaan rp  juta adapun lavani sebagai runnerup menerima uang pembinaan rp  juta  spiker bin pasundan fikri mustofa kamal dinobatkan sebagai pemain masa depan pada ajang livoli divisi utama  dan mendapat piala serta hadiah uang pembinaan rp  juta  adapun peringkat ketiga kompetisi nasional bola voli amatir ini ditempati pdam tirta baghasasi bekasi yang mengalahkan juara bertahan indomaret sidoarjo       atas raihan tersebut pdam tirta baghasasi bekasi mendapatkan piala dan hadiah uang pembinaan rp  juta sedangkan indomaret sidoarjo menerima rp  juta,Sports
kompascom  sejarah tercipta bin pasundan menjadi juara livoli  usai mengalahkan lavani dalam lima set pertandingan grand final livoli divisi utama  putra antara lavani vs bin pasundan di gor joyoboyo kediri minggu  berlangsung ramai  bin pasundan menjadi juara usai membekuk lavani      dan  duel perebutan gelar berjalan sengit lavani harus bertarung melawan bin pasundan dalam lima set baca juga head to head bin pasundan vs lavani di final livoli divisi utama  sebelum bertarung di partai final kedua tim sudah berjumpa empat kali di livoli  lavani tampak superior dengan raihan tiga kemenangan berbanding satu milik bin pasundan akan tetapi final menyuguhkan atmosfer yang berbeda bin pasundan menyentak lavani dengan merebut set pertama anak asuh ryan masajade memenangi set pertama dengan skor  lavani pun memberikan reaksi terbaik lavani kemudian memenangi dua set berikutnya masingmasing dengan skor  dan  namun perlawanan bin pasundan belum berakhir mereka memaksa laga terus berlanjut usai menang  pada set empat set penentuan yakni set kelima pun berlangsung menegangkan lavani sempat di atas angin usai memimpin  pada masa interval baca juga tim putri petrokimia juara livoli divisi utama   akan tetapi situasi kemudian berbalik poin dari farhan halim mengantar bin pasundan menyamakan kedudukan  setelah itu pertandingan semakin seru usai challenge yang diminta bin pasundan sukses tayangan ulang menunjukkan blok pemainpemain lavani menyentuh net sehingga poin tercipta buat bin pasundan skor  drama belum berakhir challenge bin pasundan kembali berhasil pemain lavani terlihat menyentuh net bin pasundan pun unggul  cross spike dari doni haryono yang merupakan eks pemain lavani lalu membawa bin pasundan mencapai match point skor saat itu  pengembalian tak sempurna pemain lavani yang terhalang net pada akhirnya memastikan kemenangan untuk bin pasundan sejarah tercipta untuk kali pertama bin pasundan meraih gelar juara livoli divisi utama,Sports
kompascom  los angeles lakers sukses menjadi juara turnamen inseason nba  seusai menundukkan indiana pacers  minggu  pagi wib sebagai informasi turnamen inseason merupakan gelaran pertama kalinya di sepanjang sejarah nba  lakers pun mengukir sejarah menjadi tim pertama yang berhasil menjuarai turnamen inseason nba  pertandingan final lakers vs pacers berlangsung di tmobile arena las vegas nv pada gelaran turnamen ini lebron james king james dianugerahi penghargaan most valuable player mvp atau pemain terbaik  baca juga dikabarkan telah menikah dengan rich paul adele pamer cincin saat nonton nba king james sukses menorehkan catatan  poin dan  rebound dalam laga melawan pacers james yang dianugerahi sebagai pemain terbaik mengatakan menjadi juara untuk yang pertama tidak pernah akan terpecahkan oleh siapa pun rekorrekor akan terpecahkan tetapi satu hal yang tidak akan pernah terpecahkan adalah menjadi yang pertama melakukan sesuatu ujar james dikutip dari bbc kami adalah juara pertama dari turnamen dalam musim dan tidak ada yang bisa mengungguli itu kata pemain berusia  tahun itu sangat menyenangkan bisa melakukannya dengan bersejarah seperti itu dan lebih baik lagi melakukannya dengan para pemain hebat yang terdiri dari orangorang kompetitif di sini kata lebron baca juga infografik mengenang laga pertama lebron james di nba pada  tahun silam kemenangan lakers juga disokong oleh performa apik anthony davis dan austin reaves ya pemain yang berposisi sebagai center ini mampu berkontribusi sebanyak  poin dalam  menit sementara itu reaves berhasil menyumbang  poin pelatih lakers darvin ham menuturkan bahwa kombinasi davis dan james merupakan duet yang dahsyat mereka adalah pukulan satudua yang dahsyat ujar darvin satu atau dua orang itu bisa menjadi salah satu dari mereka pada malam tertentu pada akhirnya mereka tahu bagaimana cara meningkatkannya ke level berikutnya ketika semuanya dipertaruhkan ucap darvin baca juga nba luncurkan nba app versi baru sajikan  jam program untuk fan final pada turnamen ini tidak akan terhitung pada klasemen nba  hasil tersebut hanya sebagai satu pertandingan dari turnamen pertandingan yang berlangsung di las vegas memiliki atmosfer pendukung yang hebat hal ini dipuji oleh lebron james para penggemar di sini luar biasa mereka sudah memiliki segalanya tim wnba mereka memiliki tim bisbol atletik yang akan segera datang tim nfl tim hoki f formula satu baru saja datang ke sini kata james ini adalah tempat yang menyukai atraksiatraksi hebat dan saya pikir nba akan menjadi tambahan yang bagus untuk kota ini kata james,Sports
kompascom  grand final livoli divisi utama  putra mempertemukan bin pasundan bandung dan lavani bogor di gor joyoboyo kediri minggu  pukul  wib bin pasundan berstatus sebagai runnerup musim  lalu sedangkan lavani berstatus sebagai tim promosi di divisi utama setelah musim lalu menjadi runnerup divisi   ini menjadi klimaks bagi kedua tim yang sudah bertemu dan bersaing sejak di babak penyisihan di grup b laga pertama dimenangi lavani dengan skor  kemudian kedua tim bertemu kembali di final pool b dan dimenangi lagi oleh lavani dengan skor identik  baca juga tim putri petrokimia juara livoli divisi utama   persaingan berlanjut ke babak final four pada putaran pertama bin pasundan berhasil revans dengan skor  – – – – namun putaran kedua lavani berhasil menang dengan skor telak  – – – pada laga pamungkas ini bin pasundan yang dipimpin ryan masajedi sudah mengantongi tiket ke babak grand final sedangkan bagi lavani laga ini memastikan langkah mereka ke babak grand final lavani melaju ke final sebagai pemuncak klasemen dengan  poin dari lima menang dan sekali kalah tim besutan pelatih kuba nicolás vives ini perkasa dengan  kali menang set dan hanya empat kali kalah set  baca juga rekap putaran akhir final four livoli divisi utama  sementara itu bin pasundan sebagai runnerup dengan  poin dari lima menang dan sekali kalah juga mereka  kali menang set dan delapan kali kalah set menariknya selama fase final four satusatunya kekalahan yang dirasakan lavani disebabkan oleh bin pasundan begitu pula sebaliknya kedua tim saling mengalahkan satu sama lain secara total kedua tim telah bertemu empat kali selama livoli divisi utama  ini tiga dimenangi lavani dan sekali dimenangi bin pasundan pertandingan dipastikan sengit mengingat di babak final four kedua tim menunjukkan level permainan yang berbeda sementara itu sebelum partai puncak penikmat voli indonesia juga akan dimanjakan persaingan sengit lainnya di perebutan tempat ketiga antara juara divisi utama musim  indomaret sidoarjo melawan juara divisi   musim lalu pdam tirta bhagasasi bekasi duel akan dilaksanakan di hari dan tempat yang sama hanya dilakukan lebih awal yaitu pukul  wib,Sports
